,,,,,,,,,,,,,,,,,,,,
Course Code,Course Name ,L,T,P,"C
old",C,Name of the Instructor(s),Section,Lecture,Tutorial,Lab,Link for online classes,No of students,Preferred knowledge equivalent to,Minor in,Open to,IMS Status,Course plan,Remarks,Approval (SAPC meeting)
Additional courses ME,,,,,,,,,,,,,,,,,,,,
ME 605,Computational Fluid Dynamics,3,2,0,,4,Dilip Sundaram (I+T),,K,J2+L2,,Lectures Tutorials,,,,,,,,
ES 607,Foundations of Fluid Dynamics,3,1,0,,4,Vinod Narayanan (I+T),,G,H2,,ES 607,,,,,,,,
ME 639,Introduction to Robotics,3,0,0,,4,Vineet Vashista,,J,,,ME 639,,,,,,,,
ME 626,Industrial Hydraulics and Pneumatics,3,0,0,,4,N. Ramakrishnan,,L,,,ME 626,,,,,,,,
ME 691-I,"Special Topics in Mechanical Engineering:
Mechanical Vibration analysis",3,0,0,,4,Jayaprakash KR,,M,,,ME 691-I,,,,,,,,
ME 691-II,"Special Topics in Mechanical Engineering:
Dynamics and Control through household objects",3,0,0,,4,Harish PM,,K,,,ME 691-II,Maximum 20,,,,,,,
ME 691-III,"Special Topics in Mechanical Engineering:
Advanced Heat and Mass Transfer",3,1,0,,4,Jaichandar Swaminathan,,N,R1,,ME 691-III,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses MSE,,,,,,,,,,,,,,,,,,,,
MSE 355,Surface Engineering,3,0,0,,4,Sriharita Rowthu,,M,,,MSE 355,,,,,,,,
MSE 403,Science and Technology of Welding and Joining,3,0,0,,4,Amit Arora,,K,,,MSE 403,,ES 202,,,,,,
MSE 622,Advance Metal Forming Technology,3,0,0,,4,Jyoti Mukhopadhyay,,L,,,MSE 622,,,,,,,,
MSE 631,Thermodynamics of Materials,3,0,0,,4,Abhay Gautam,,F,,,MSE 631,,Instructor’s consent,,,,,,
MSE 632 ,Characterization of Materials,3,0,2,,4,Emila Panda (I+L),,"D1+G1, D3+G3",,K2+M2,MSE 632 ,,Instructor’s consent,,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses CH,,,,,,,,,,,,,,,,,,,,
CH 506,Physical organic chemistry,3,0,0,,4,Sudipta Basu,,E,,,CH 506,,Instructor’s Consent,,,,,,
CH 510,Main Group and Transition Metal Chemistry,3,0,0,,4,Iti Gupta,,F,,,CH 510,,,,,,,,
CH 511,Quantum Chemistry,3,0,0,,4,Sairam Mallajosyula,,M,,,CH 511,,,,,,,,
CH 513,Advanced Organic Chemistry,3,0,0,,4,Sivapriya Kirubakaran,,G,,,CH 513,,CH 512,,,,,,
CH 616,Applied Chemical Biology,3,0,0,,4,Sriram Kanvah,,F,,,CH616,,,,,,,,
CH 622,Interpretative organic spectroscopy,3,0,0,,4,Bhaskar Datta,,G,,,CH 622,,,,,,,,
CH 626,Asymmetric Synthesis and Catalysis,3,0,0,,4,Chandrakumar Appayee,,J,,,CH 626,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses MA,,,,,,,,,,,,,,,,,,,,
MA 501,Basic Algebra,3,1,0,,4,Indranath Sengupta (I+T),,D,J1,,MA 501,,,,,,,,
MA 504,Introduction to Linear Algebra,3,1,0,,4,Akshaa Vatwani (I+T),,F,K3,,MA 504,,,,,,,,
MA 509,Topics in Real Analysis,3,1,0,,4,Atul Dixit (I+T),,E,K1,,MA 509,,,,,,,,
MA 510,Topology,3,1,0,,4,N. Ladhawala (I+T),,G,L1,,"MA 510 Meeting ID: 970 539 7964
Password: 720947",,,,,,,,
MA 601,Mathematical Methods in Engineering,3,0,0,,4,"Satyajijt Pramanik (I), Mohan Joshi (Additional Help Sessions)",,C, ,,MA 601,,,,,,,,
MA 623,Number Theory,3,0,0,,4,Fatma Cicek,,H,,,MA 623,,"Basic acquaintance with real and complex analysis, MA 501",,,,,,
MA 626,Functional Analysis,3,0,0,,4,Bipul Saurabh,,605,,,MA 626,,MA 509,,,,,,
MA 627,Algebraic Topology,3,0,0,,4,Sanjay Amrutiya,,N,,,MA 627,,"Basic concepts in Topology, Algebra and Linear Algebra",,,,,,
MA 628,Algebra-II,3,0,0,,4,Arnab Saha,,L,,,MA 628,,"MA 501, Linear Algebra",,,,,,
MA 630,Probability Theory,3,0,0,,4,Chetan Pahalajani,,M,,,MA 630,,"MA 509, MA 622",,,,,,
,,,,,,,,,,,,,,,,,,,,
Additional courses PH,,,,,,,,,,,,,,,,,,,,
PH 404,Molecular and Crystal Physics,3,0,0,,4,Vijay Thiruvenkatam,,N,,,PH 404,,,,,,,,
PH 502,Mathematical Methods of Physics - I,3,1,0,,4,Prasanna Venkatesh (I+T),,C,B1,,PH 502,,UG level multivariate calculus and linear algebra,,,,,,
PH 503,Quantum Mechanics I,3,1,0,,4,Bharadwaj Coleppa (I+T),,D,H2,,PH 503,,Linear Algebra,,,,,,
PH 505,Classical Electrodynamics,3,1,0,,4,Sudipta Sarkar (I+T),,L,K1,,PH 505,,Instructors Consent (for non M.Sc. Physics students),,,,,,
PH 508 ,Classical Mechanics,3,0,0,,4,Vinod  Chandra,,F,,,PH 508 ,,"PH 101, MA 201",,,,,,
PH 509,Computational Physics,2,0,2,,4,Anand Sengupta (I+L),,"F1, F2",,F3+H3,PH 509,,Instructor’s consent,,,,,,
PH 510,Condensed Matter Physics,3,1,0,,4,Rupak  Banarjee (I+T),,E,K3,,PH 510,,Undergraduate Quantum Mechanics or Equivalent,,,,,,
PH 605,Topics in Classical Mechanics and Electrodynamics,3,0,0,,4,RR Puri,,L,,,PH 605,,Instructor’s consent,,,,,,
PH 608,Tools of Theoretical Physics,3,0,0,,4,RR Puri,,D,,,PH 608,,"Knowledge of Linear Algebra, Differential equations and Basics of Group Theory",,,,,,
PH 610,Quantum Field Theory I,3,0,0,,4,Arpan  Bhatacharyya,,"P1, R2",,,PH 610,,PH 504,,,,,,
PH 644,Tools of experimental Physics,3,0,0,,4,Gopinadhan Kalon,,J,,,PH 644,,,,,,,,
PH 692,Special Topics in Physics: Ultrafast Optics,3,0,0,,2,Ramon Carriles,,"7:30PM to 9:00PM
 (Tuesdays and Thursdays)",,,PH 692,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Course EH,,,,,,,,,,,,,,,,,,,,
EH 601,Earth Surface Processes in the Anthropocene,2,0,2,,4,Saptarshi Dey (I+L),,"E1, E2",,K3+M3,EH 601,,,,,,,,
EH 605,Modeling of Earth System and Sustainability,3,0,0,,4,R N Singh,,F,,,EH 605,,Instructor’s consent,,,,,,
EH 610,Engineering Seismology and Seismic Hazard Analysis,3,0,0,,4,Sanjay Singh Bora,,D,,,EH 610,,Basic programming skills in Python/MATLAB.,,,,,,
ES 635,Water Quality Engineering,3,0,0,,4,Manish Kumar Singh,,G,,,ES 635,,Basic UG level Mathematics and Chemistry,,,,,,
,,,,,,,,,,,,,,,,,,,,
Course CG,,,,,,,,,,,,,,,,,,,,
CG 513,Behavioral Economics,3,0,0,,4,Krishna Miyapuram,,F,,,CG 513,,,Cognitive Science/ HSS / Management,,,,,
CG 591,Special Topics in Cognitive Science: Introduction to Cognitive Neuropsychology,3,0,0,,4,Setu Havanur,,A,,,CG 591,,,Basic Science / Cognitive Science,,,,,
CG 606,Philosophy of Mind,3,0,0,,4,Jaison Manjaly,,E,,,CG 606,40,,Cognitive Science/ HSS,M.Sc. Cognitive Science,,,,
CG 502,Foundations of Cognitive Science,3,0,0,,2,Krishna Miyapuram (coordination),,L1,,,CG 502,,,Cognitive Science ,first year MSc Cogsci only,,,,
CG 691-I,Special Topics in Cognitive Science: Neuroplasticity,3,0,0,,4,Leslee Lazar,,J,,,CG 691-I,,Neuroscience,Basic Science / Cognitive Science,,,,,
CG 591-I,Special Topics in Cognitive Science: Introduction to Cognitive Linguistics,3,0,0,,4,Jooyoung Kim,,D,,,CG 591-I,40,,Cognitive Science/ HSS,,,,,
,,,,,,,,,,,,,,,,,,,,
"Courses Design, HSS, Management (Kindly note that some more courses may be added under this header)",,,,,,,,,,,,,,,,,,,,
DES 201,From Idea to Marketable Product,3,0,0,,4,Manasi Kanetkar ,,L,,,DES 201,40,,,,,,,
ES 411,Topics in Complexity Science,3,0,1,,4,Antonio Fonseca,,H,,,ES 411,40,,,,,,,
FP 602 ,Writing,1,0,4,,4,"Sharmita Lahiri (I+T), Jooyoung Kim (T), Dyotana Banerjee (T), Sudipta Basu (T)",,M1,,"M2+N2, M3+N3",FP 602                    Important Annoucements,,,,,,,,
HS 104(R),Foundational Sanskrit,3,1,0,,4,Mana Shah (I+T),,G,,,HS 104(R),40,,HSS,,,,,
HS 108,Japan Studies,3,0,0,,2,Shungo Kawanishi,,"Tuesday, Thursday, and Friday, 14:05- 15:25",,,HS 108,40,,HSS,,,,,
HS 111 ,Urdu Script & Poetry,3,1,0,,4,Mohd. Mubashshir Ahsan (I+T),,P,,,HS 111                    Details,40,,HSS,,,,,
